Charm++> Running on Gemini (GNI) with 66 processes
Charm++> static SMSG
Charm++> SMSG memory: 325.9KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 66,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 8 9 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 3 BY 6 BY 8
Redirecting stdout to files output_000/0/job0.0.log through 32
EXCHANGE_ACCEPT 4 (5) 5 (0) RUN 132
EXCHANGE_ACCEPT 31 (30) 32 (31) RUN 133
EXCHANGE_ACCEPT 25 (22) 26 (26) RUN 133
EXCHANGE_ACCEPT 27 (27) 28 (28) RUN 133
EXCHANGE_ACCEPT 3 (8) 4 (0) RUN 133
EXCHANGE_ACCEPT 19 (17) 20 (20) RUN 133
EXCHANGE_ACCEPT 0 (1) 1 (3) RUN 134
EXCHANGE_ACCEPT 20 (17) 21 (15) RUN 134
EXCHANGE_ACCEPT 12 (13) 13 (11) RUN 134
EXCHANGE_ACCEPT 31 (31) 32 (30) RUN 135
EXCHANGE_ACCEPT 25 (26) 26 (22) RUN 135
EXCHANGE_ACCEPT 0 (3) 1 (1) RUN 136
EXCHANGE_ACCEPT 20 (15) 21 (17) RUN 136
EXCHANGE_ACCEPT 31 (30) 32 (31) RUN 137
EXCHANGE_ACCEPT 3 (0) 4 (8) RUN 137
EXCHANGE_ACCEPT 19 (20) 20 (17) RUN 137
EXCHANGE_ACCEPT 21 (15) 22 (21) RUN 137
EXCHANGE_ACCEPT 9 (10) 10 (7) RUN 137
EXCHANGE_ACCEPT 0 (1) 1 (3) RUN 138
EXCHANGE_ACCEPT 10 (10) 11 (9) RUN 138
EXCHANGE_ACCEPT 31 (31) 32 (30) RUN 139
EXCHANGE_ACCEPT 29 (32) 30 (29) RUN 139
EXCHANGE_ACCEPT 5 (5) 6 (4) RUN 139
EXCHANGE_ACCEPT 21 (21) 22 (15) RUN 139
EXCHANGE_ACCEPT 0 (3) 1 (1) RUN 140
